yona_file,yona_line,yona_file_ref,yona_line_range,ticket,gl_ids
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentCleanupScheduler.kt,21,Attachment.java,438-477,P2-26,GL-models_Attachment-035
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentService.kt,7,Attachment.java,537-582,P2-24,GL-models_Attachment-039;GL-models_Attachment-040
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentServiceImpl.kt,59,Attachment.java,537-582,P2-24,GL-models_Attachment-039;GL-models_Attachment-040
src/main/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentRepository.kt,25,Attachment.java,75-85,P2-24,GL-models_Attachment-013;GL-models_Attachment-014;GL-models_Attachment-015
src/main/kotlin/com/github/yonaprojects/yona/domain/board/PostingServiceImpl.kt,71,NotificationEvent.java,1380-1385,P1-127,GL-models_NotificationEvent-096
src/main/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceImpl.kt,94,utils/JodaDateUtil.java,127-142,,GL-utils_JodaDateUtil-019;GL-utils_JodaDateUtil-020
src/main/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceImpl.kt,239,NotificationEvent.java,1517-1528,P1-126,GL-models_NotificationEvent-107;GL-models_NotificationEvent-108
src/main/kotlin/com/github/yonaprojects/yona/domain/event/GitPostReceiveEventListener.kt,132,NotificationEvent.java,604-680,P1-46,GL-models_NotificationEvent-038;GL-models_NotificationEvent-039;GL-models_NotificationEvent-040;GL-models_NotificationEvent-041;GL-models_NotificationEvent-042;GL-models_NotificationEvent-043;GL-models_NotificationEvent-044;GL-models_NotificationEvent-045;GL-models_NotificationEvent-046
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueService.kt,50,IssueApi.java,1176-1210,P1-101,GL-controllers_api_IssueApi-064;GL-controllers_api_IssueApi-065
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceImpl.kt,151,NotificationEvent.java,1380-1385,P1-127,GL-models_NotificationEvent-096
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceImpl.kt,599,IssueApi.java,1176-1210,P1-101,GL-controllers_api_IssueApi-064;GL-controllers_api_IssueApi-065
src/main/kotlin/com/github/yonaprojects/yona/domain/issue/IssueRepository.kt,35,Issue.java,524-529,P2-38,GL-models_Issue-061
src/main/kotlin/com/github/yonaprojects/yona/domain/mail/IncomingMailProcessingService.kt,384,IssueApp.java,1004-1011,P2-34,GL-controllers_IssueApp-049
src/main/kotlin/com/github/yonaprojects/yona/domain/mention/MentionService.kt,6,Mention.java,33-49,,GL-models_Mention-004;GL-models_Mention-005;GL-models_Mention-006;GL-models_Mention-007;GL-models_Mention-008
src/main/kotlin/com/github/yonaprojects/yona/domain/mention/MentionRepository.kt,6,Mention.java,33-49,,GL-models_Mention-004;GL-models_Mention-005;GL-models_Mention-006;GL-models_Mention-007;GL-models_Mention-008
src/main/kotlin/com/github/yonaprojects/yona/domain/mention/MentionServiceImpl.kt,14,Mention.java,33-49,,GL-models_Mention-004;GL-models_Mention-005;GL-models_Mention-006;GL-models_Mention-007;GL-models_Mention-008
src/main/kotlin/com/github/yonaprojects/yona/domain/milestone/MilestoneService.kt,6,MilestoneApp.java,52-53,,GL-controllers_MilestoneApp-002
src/main/kotlin/com/github/yonaprojects/yona/domain/milestone/MilestoneServiceImpl.kt,25,Milestone.java,188-230,,GL-models_Milestone-027;GL-models_Milestone-028;GL-models_Milestone-029
src/main/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceImpl.kt,25,FavoriteOrganization.java,38-46,P2-19,GL-models_FavoriteOrganization-007
src/main/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceImpl.kt,97,FavoriteOrganization.java,38-46,P2-19,GL-models_FavoriteOrganization-007
src/main/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceImpl.kt,259,EnrollOrganizationApp.java,101-104,P1-123,GL-controllers_EnrollOrganizationApp-005
src/main/kotlin/com/github/yonaprojects/yona/domain/project/ProjectServiceImpl.kt,59,FavoriteProject.java,41-50,P2-27,GL-models_FavoriteProject-008
src/main/kotlin/com/github/yonaprojects/yona/domain/project/ProjectServiceImpl.kt,366,FavoriteProject.java,41-50,P2-27,GL-models_FavoriteProject-008
src/main/kotlin/com/github/yonaprojects/yona/domain/project/Project.kt,27,Project.java,131-133,,GL-models_Project-026
src/main/kotlin/com/github/yonaprojects/yona/domain/project/ProjectUserServiceImpl.kt,237,NotificationEvent.java,1468-1477,P2-20,GL-models_NotificationEvent-100
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/CodeReviewServiceImpl.kt,212,AccessControl.java,205-301,P1-116,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/domain/pullrequest/CodeReviewServiceImpl.kt,292,AccessControl.java,205-301,P1-116,GL-utils_AccessControl-009
