yona_file,yona_line,yona_file_ref,ticket_ids,file_confirmed_in_gl_index
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,42,error/badrequest.scala.html,P-템플릿 #50,True
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,52,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,80,error/badrequest.scala.html,P-템플릿 #50,True
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,92,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/PullRequestController.kt,95,models/PullRequestEvent.java,P1-08,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,99,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,296,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,322,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,370,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,704,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,879,error/forbidden.scala.html,P-템플릿 #47,True
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,944,partial_issuelabels_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/web/IndexController.kt,92,actions/AnonymousCheckAction.java,,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,114,error/forbidden_organization.scala.html,P-템플릿 #49,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,130,organization/group_issue_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,199,organization/group_board_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,256,organization/group_pullrequest_list.scala.html,,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,412,error/forbidden_organization.scala.html,P-템플릿 #49,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,445,error/forbidden_organization.scala.html,P-템플릿 #49,True
src/main/kotlin/com/github/yonaprojects/yona/web/OrganizationViewController.kt,523,error/forbidden_organization.scala.html,P-템플릿 #49,True
