yona_file,yona_line,yona_file_ref,yona_line_range,ticket_ids,pattern_type,is_exclusion
src/main/kotlin/com/github/yonaprojects/yona/web/AttachmentController.kt,75,AttachmentApp.java,84-85,P2-24,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AttachmentController.kt,113,AccessControl.java,255-259,P1-96,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AttachmentController.kt,195,AccessControl.java,250-263,P1-130,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AttachmentController.kt,240,AccessControl.java,255-259,P1-96,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AuthController.kt,26,UserApp.java,1218-1224,P1-77,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AuthController.kt,81,models/User.java,"65-66,80",P1-104,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/AuthController.kt,108,UserApp.java,1260-1275,P1-77,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,46,BoardApp.java,211,P1-113,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,54,AbstractPostingApp.java,35,P1-105,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,158,BoardApi.java,128-159,P1-107,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardController.kt,259,AbstractPostingApp.java,35,P1-105,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,92,AbstractPostingApp.java,35,P1-105,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,214,BoardApp.java,119,P1-113,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,246,board/create.scala.html,100-106,TASK-0263,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,294,board/edit.scala.html,59,TASK-0263,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,402,BoardApp.java,211,P1-113,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,503,AbstractPostingApp.java,35,P1-105,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,515,Posting.java,37,P1-110,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BoardViewController.kt,517,Posting.java,39-49,P1-111,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,38,BranchApp.java,47,P2-29,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,76,BranchApp.java,47,P2-29,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchApiController.kt,88,BranchApp.java,71-72,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchViewController.kt,38,actions/CodeAccessCheckAction.java,22-24,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchViewController.kt,59,actions/IsOnlyGitAvailableAction.java,44-45,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/BranchViewController.kt,88,code/branches.scala.html,59-62,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,50,,,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,72,CodeApp.java,60-62,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,127,actions/CodeAccessCheckAction.java,22-24,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,149,CodeApp.java,115-117,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,170,code/view.scala.html,26-39,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,184,code/view.scala.html,41-47,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,194,code/view.scala.html,49-55,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,204,views/code/partial_view_file.scala.html,109-114,P1-139,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,215,views/code/partial_view_file.scala.html,44-59,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,365,actions/CodeAccessCheckAction.java,22-24,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,405,code/history.scala.html,56-69,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,416,code/history.scala.html,144-154,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,450,actions/CodeAccessCheckAction.java,22-24,,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CodeViewController.kt,492,code/svnDiff.scala.html,37-50,그룹2 #39,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,49,IssueApp.java,959-973,P2-34,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,77,IssueApi.java,594-634,P1-102,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,149,BoardApp.java,396-425,P2-34,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,177,BoardApi.java,198-238,P1-107,forward,False
src/main/kotlin/com/github/yonaprojects/yona/web/CommentController.kt,250,IssueApi.java,594-634,P1-102,forward,False
